title,description,paraphased_descripton,category
Incorrect Amount Charged,"I was charged $50 for Premium Access, but my account shows that I only have a Basic Subscription. My billing cycle is 2023-11-01 to 2023-11-30.  Please investigate and adjust my account accordingly.",Customer received a billing statement for Premium Access but their account shows Basic Subscription. Request adjustment of the billing amount.,Billing Question
Recurring Payment Failure,"My subscription for the Premium Plan, which I signed up for on 2023-10-26, failed to renew today. I checked my payment information and it's still valid.",Recurring payment for Premium Plan failed. Payment details are still valid. Renewal failed on current billing cycle.,Billing Question
Duplicate Charges,"I noticed two charges for the same service on my account today.  Reference number for the first charge is 123456. For the second charge, the reference number is 654321. Please investigate this issue.",Customer observed two identical charges on their account. The first charge reference is 123456 and the second is 654321. Request investigation into duplicate charges.,Billing Question
Incorrect Payment Method,"My payment method was recently updated to a new credit card. However, I was charged using my old debit card.  Please investigate and correct the issue.","Customer's payment method was updated, but the old debit card was used for the charge. Request investigation and correction.",Billing Question
Subscription Cancellation,I wish to cancel my subscription for the Standard plan. My account shows subscription ending date as 2024-01-15. The subscription renewal date is in 2024-02-01.,Customer requests cancellation of their Standard Plan subscription.,Billing Question
Missing Invoice,I haven't received the invoice for the billing cycle of 2023-10-15 to 2023-10-31. Please send a copy of the invoice.,Customer has not received the invoice for a specific billing cycle. Request invoice copy.,Billing Question
Overpayment Issue,I believe I overpaid my account by $25 for the 2023-10-01 to 2023-10-31 billing period. Please review and refund the overpayment.,Customer believes they overpaid. Request review and refund of the overpayment.,Billing Question
Incorrect Plan,I was mistakenly enrolled in the Enterprise Plan instead of the Professional Plan.  Please correct the plan and adjust the appropriate charges.,Customer enrolled in incorrect plan. Request correction of the plan and adjustment of charges.,Billing Question
Payment Dispute,I am disputing a charge of $100 for an item I did not purchase. I have attached a copy of my credit card statement and proof of non-purchase.  Please investigate.,Customer disputes a charge for an item not purchased. Provided credit card statement and proof of non-purchase.,Billing Question
Subscription Status Inquiry,Could you please provide the status of my subscription renewal?  It's due 2023-11-20.,Customer requests inquiry about the status of their subscription renewal.,Billing Question
